Rank,Symbol,Momentum,Volatility,Score
1,RANBAXY,0.130631,0.025939,5.036
2,ASIANPAINT,0.152964,0.030607,4.9977
3,SUNPHARMA,0.135697,0.032244,4.2084
4,M&MFIN,0.11382,0.037601,3.027
5,NATIONALUM,0.112089,0.047515,2.359
6,HINDUNILVR,0.06596,0.029464,2.2387
7,KTKBANK,0.055177,0.031394,1.7576
8,CAIRN,0.047466,0.039607,1.1984
9,JSWDULUX,0.018395,0.022556,0.8155
10,HEROMOTOCO,0.013441,0.026754,0.5024
11,GODREJCP,0.014775,0.030595,0.4829
12,INGVYSYABK,0.009315,0.032694,0.2849
13,JUBLPHARMA,0.004418,0.02705,0.1633
14,BPCL,-0.036782,0.057783,-0.6365
15,EDUCOMP,-0.038392,0.059732,-0.6427
16,GLAXO,-0.018682,0.027029,-0.6912
17,JISLJALEQS,-0.02538,0.0349,-0.7272
18,GOLDTECH,-0.026673,0.033645,-0.7928
19,INDIANB,-0.040145,0.047599,-0.8434
20,ITC,-0.029613,0.030684,-0.9651
