Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,HINDUNILVR,0.979585,0.6597,-0.2245,0.080649
2,GLAXO,0.973643,0.4889,-0.2698,0.086227
3,PGHH,0.973494,-0.1292,-0.1801,0.059515
4,HEROMOTOCO,0.963073,0.4782,-0.2606,0.098602
5,COLPAL,0.961579,-0.0246,-0.2851,0.087273
6,CIPLA,0.954773,-0.0942,-0.3349,0.088903
7,SUNPHARMA,0.953183,0.0904,-0.3449,0.097496
8,BRITANNIA,0.950305,-0.3136,-0.3182,0.078785
9,GODREJCP,0.94614,0.0781,-0.2816,0.106958
10,LUPIN,0.934447,0.0768,-0.3051,0.115269
