Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,POWERGRID,0.919174,1.6733,-0.1204,0.045529
2,HDFCBANK,0.885207,1.2266,-0.1121,0.043285
3,PGHH,0.869299,1.0497,-0.0922,0.043377
4,CUB,0.867944,2.2256,-0.153,0.064795
5,CESC,0.859802,1.7742,-0.1572,0.061625
6,OIL,0.855042,1.2294,-0.1533,0.04649
7,IGL,0.845972,2.0503,-0.1597,0.067973
8,ONGC,0.831529,1.2179,-0.1536,0.055939
9,HINDZINC,0.827144,2.2502,-0.1522,0.07494
10,EXIDEIND,0.826219,1.3915,-0.1637,0.06124
