Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,ADANIENT,0.895324,1.0611,-0.0024,0.001051
2,ASIANPAINT,0.888587,1.5088,-0.2744,0.073898
3,M&M,0.865245,2.1029,-0.2805,0.103419
4,BHARTIARTL,0.859678,1.4035,-0.2435,0.092081
5,GODREJCP,0.854738,2.1393,-0.2597,0.111785
6,ASIANHOTNR,0.841055,1.6396,-0.236,0.110087
7,UPL,0.834061,1.1381,-0.2709,0.082264
8,SUNPHARMA,0.820759,1.0754,-0.2621,0.087042
9,INFY,0.820602,0.8742,-0.255,0.068457
10,ITC,0.820588,1.6771,-0.3016,0.106907
