Rank,Symbol,QualityScore,Sharpe,MaxDrawdown,RetStability
1,SUNPHARMA,0.95042,1.8559,-0.0727,0.041425
2,ITC,0.924589,1.6691,-0.1079,0.049985
3,HINDUNILVR,0.922249,2.2566,-0.0971,0.061426
4,MARICO,0.915227,1.4831,-0.1154,0.04821
5,ULTRACEMCO,0.910082,2.3891,-0.1078,0.066701
6,GODREJCP,0.905065,1.9896,-0.1489,0.058203
7,GSKCONS,0.90411,1.2118,-0.1032,0.043727
8,DIVISLAB,0.903088,1.8968,-0.1238,0.06412
9,IPCALAB,0.898454,1.8818,-0.1368,0.063626
10,BOSCHLTD,0.894531,1.1442,-0.0932,0.048172
